t_monotonic,ax,ay,az,gx,gy,gz
233223.684212,0.194,1.048,0.027,6.53,5.58,-6.01
233223.694473,0.198,1.051,0.025,6.65,3.51,-5.07
233223.705577,0.199,1.054,0.025,6.29,1.4,-4.76
233223.716403,0.198,1.052,0.018,5.37,-1.07,-4.55
233223.726144,0.188,1.05,0.006,3.05,-2.78,-4.03
233223.738715,0.178,1.039,-0.002,0.15,-2.9,-2.69
233223.745178,0.172,1.034,-0.001,-2.72,-2.69,-0.58
233223.754073,0.182,1.037,0.008,-4.12,-3.02,2.72
233223.765413,0.19,1.019,0.004,-4.24,-3.97,5.83
233223.776254,0.196,1.003,0.011,-5.4,-4.21,7.2
233223.785901,0.198,1.008,0.018,-6.13,-4.55,8.15
233223.795342,0.193,1.009,0.015,-6.16,-5.28,9.37
233223.810096,0.19,1.006,0.015,-6.74,-5.19,10.1
233223.814783,0.188,1.012,0.016,-7.63,-5.34,10.35
233223.825593,0.179,1.021,0.007,-8.73,-5.74,10.59
233223.843258,0.172,1.026,0.009,-10.07,-5.58,10.9
233223.845234,0.167,1.026,0.013,-10.93,-5.62,11.02
233223.859973,0.164,1.018,0.017,-11.54,-5.98,10.86
233223.867632,0.157,1.009,0.01,-11.6,-6.04,10.71
233223.874619,0.151,1.002,0.012,-11.69,-5.19,10.25
233223.887860,0.146,0.993,0.015,-11.35,-4.82,10.19
233223.896420,0.14,0.982,0.012,-10.25,-4.52,10.53
233223.909557,0.144,0.969,0.016,-9.06,-3.91,10.9
233223.914874,0.15,0.951,0.008,-7.93,-3.57,10.9
233223.924303,0.153,0.933,0.01,-8.03,-2.59,10.5
233223.935174,0.158,0.92,0.023,-8.42,-2.26,9.83
233223.944694,0.163,0.907,0.026,-9.19,-2.62,9.55
233223.955130,0.17,0.9,0.029,-10.9,-2.2,9.28
233223.968992,0.18,0.906,0.037,-12.45,-1.83,9.22
233223.974188,0.184,0.907,0.029,-13.67,-2.96,9.46
233223.984204,0.189,0.906,0.033,-14.47,-3.36,9.61
233223.994309,0.183,0.902,0.03,-14.1,-3.91,9.77
233224.004865,0.169,0.917,0.024,-13.31,-3.63,9.86
233224.015482,0.155,0.945,0.015,-11.72,-3.6,10.83
233224.029165,0.152,0.969,0.01,-10.38,-3.6,12.6
233224.034985,0.158,0.984,-0.004,-10.01,-3.97,13.15
233224.045512,0.159,0.997,-0.01,-10.77,-4.94,12.24
233224.055012,0.143,1.012,-0.015,-12.15,-6.1,9.92
233224.066655,0.123,1.02,-0.003,-13.43,-6.74,7.54
233224.078763,0.102,1.014,0.006,-13.0,-7.05,5.95
233224.085133,0.086,0.999,0.023,-11.6,-6.81,5.19
233224.094099,0.073,0.986,0.038,-8.67,-6.62,5.52
233224.104656,0.055,0.974,0.045,-5.62,-5.37,6.71
